"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"mcs_vc14_22drive","Integer","","Recommended","Action Words. drive","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_434,i_a_14_22�,say_drive"
"mcs_vc14_23drop","Integer","","Recommended","Action Words. drop","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_435,i_a_14_23�,say_drop"
"mcs_vc14_24dry","Integer","","Recommended","Action Words. dry","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_436,i_a_14_24�,say_dry"
"mcs_vc14_25dump","Integer","","Recommended","Action Words. dump","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_437,i_a_14_25�,say_dump"
"mcs_vc14_26eat","Integer","","Recommended","Action Words. eat","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_438,i_a_14_26�,say_eat"
"mcs_vc14_27fall","Integer","","Recommended","Action Words. fall","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_439,i_a_14_27�,say_fall"
"mcs_vc14_28feed","Integer","","Recommended","Action Words. feed","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_440,i_a_14_28�,say_feed"
"mcs_vc14_29find","Integer","","Recommended","Action Words. find","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_441,i_a_14_29�,say_find"
"mcs_vc14_30finish","Integer","","Recommended","Action Words. finish","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_442,i_a_14_30�,say_finish"
"mcs_vc14_31fit","Integer","","Recommended","Action Words. fit","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_443,i_a_14_31�,say_fit"
"mcs_vc14_32fix","Integer","","Recommended","Action Words. fix","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_444,i_a_14_32�,say_fix"
"mcs_vc14_33get","Integer","","Recommended","Action Words. get","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_445,i_a_14_33�,say_get"
"mcs_vc14_34give","Integer","","Recommended","Action Words. give","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_446,i_a_14_34�,say_give"
"mcs_vc14_35go","Integer","","Recommended","Action Words. go","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_447,i_a_14_35�,say_go"
"mcs_vc14_36hate","Integer","","Recommended","Action Words. hate","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_448,i_a_14_36�,say_hate"
"mcs_vc14_37have","Integer","","Recommended","Action Words. have","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_449,i_a_14_37�,say_have"
"mcs_vc14_38hear","Integer","","Recommended","Action Words. hear","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_450,i_a_14_38�,say_hear"
"mcs_vc14_39help","Integer","","Recommended","Action Words. help","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_451,i_a_14_39�,say_help"
"mcs_vc14_40hide","Integer","","Recommended","Action Words. hide","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_452,i_a_14_40�,say_hide"
"mcs_vc14_41hit","Integer","","Recommended","Action Words. hit","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_453,i_a_14_41�,say_hit"
"mcs_vc14_42hold","Integer","","Recommended","Action Words. hold","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_454,i_a_14_42�,say_hold"
"mcs_vc14_43hug","Integer","","Recommended","Action Words. hug","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_455,i_a_14_43�,say_hug"
"mcs_vc14_44hurry","Integer","","Recommended","Action Words. hurry","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_456,i_a_14_44�,say_hurry"
"mcs_vc14_45jump","Integer","","Recommended","Action Words. jump","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_457,i_a_14_45�,say_jump"
"mcs_vc14_46kick","Integer","","Recommended","Action Words. kick","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_458,i_a_14_46�,say_kick"
"mcs_vc14_47kiss","Integer","","Recommended","Action Words. kiss","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_459,i_a_14_47�,say_kiss"
"mcs_vc14_48knock","Integer","","Recommended","Action Words. knock","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_460,i_a_14_48�,say_knock"
"mcs_vc14_49lick","Integer","","Recommended","Action Words. lick","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_461,i_a_14_49�,say_lick"
"mcs_vc14_50like","Integer","","Recommended","Action Words. like","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_462,i_a_14_50�,say_like"
"mcs_vc14_51listen","Integer","","Recommended","Action Words. listen","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_463,i_a_14_51�,say_listen"
"mcs_vc14_52look","Integer","","Recommended","Action Words. look","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_464,i_a_14_52�,say_look"
"mcs_vc14_53love","Integer","","Recommended","Action Words. love","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_465,i_a_14_53�,say_love"
"mcs_vc14_54make","Integer","","Recommended","Action Words. make","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_466,i_a_14_54�,say_make"
"mcs_vc14_55open","Integer","","Recommended","Action Words. open","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_467,i_a_14_55�,say_open"
"mcs_vc14_56paint","Integer","","Recommended","Action Words. paint","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_468,i_a_14_56�,say_paint"
"mcs_vc14_57pick","Integer","","Recommended","Action Words. pick","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_469,i_a_14_57�,say_pick"
"mcs_vc14_58play","Integer","","Recommended","Action Words. play","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_470,i_a_14_58�,say_play"
"mcs_vc14_59pour","Integer","","Recommended","Action Words. pour","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_471,i_a_14_59�,say_pour"
"mcs_vc14_60pretend","Integer","","Recommended","Action Words. pretend","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_472,i_a_14_60�,say_pretend"
"mcs_vc14_61pull","Integer","","Recommended","Action Words. pull","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_473,i_a_14_61�,say_pull"
"mcs_vc14_62push","Integer","","Recommended","Action Words. push","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_474,i_a_14_62�,say_push"
"mcs_vc14_63put","Integer","","Recommended","Action Words. put","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_475,i_a_14_63�,say_put"
"mcs_vc14_64read","Integer","","Recommended","Action Words. read","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_476,i_a_14_64�,say_read"
"mcs_vc14_65ride","Integer","","Recommended","Action Words. ride","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_477,i_a_14_65�,say_ride"
"mcs_vc14_66rip","Integer","","Recommended","Action Words. rip","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_478,i_a_14_66�,say_rip"
"mcs_vc14_67run","Integer","","Recommended","Action Words. run","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_479,i_a_14_67�,say_run"
"mcs_vc14_68say","Integer","","Recommended","Action Words. say","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_480,i_a_14_68�,say_say"
"mcs_vc14_69see","Integer","","Recommended","Action Words. see","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_481,i_a_14_69�,say_see"
"mcs_vc14_70shake","Integer","","Recommended","Action Words. shake","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_482,i_a_14_70�,say_shake"
"mcs_vc14_71share","Integer","","Recommended","Action Words. share","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_483,i_a_14_71�,say_share"
"mcs_vc14_72show","Integer","","Recommended","Action Words. show","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_484,i_a_14_72�,say_show"
"mcs_vc14_73sing","Integer","","Recommended","Action Words. sing","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_485,i_a_14_73�,say_sing"
"mcs_vc14_74sit","Integer","","Recommended","Action Words. sit","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_486,i_a_14_74�,say_sit"
"mcs_vc14_75skate","Integer","","Recommended","Action Words. skate","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_487,i_a_14_75�,say_skate"
"mcs_vc14_76sleep","Integer","","Recommended","Action Words. sleep","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_488,i_a_14_76�,say_sleep"
"mcs_vc14_77slide","Integer","","Recommended","Action Words. slide","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_488a,i_a_14_77�,say_action_slide"
"mcs_vc14_78smile","Integer","","Recommended","Action Words. smile","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_489,i_a_14_78�,say_smile"
"mcs_vc14_80splash","Integer","","Recommended","Action Words. splash","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_490,i_a_14_80�,say_splash"
"mcs_vc14_81stand","Integer","","Recommended","Action Words. stand","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_491,i_a_14_81�,say_stand"
"mcs_vc14_82stay","Integer","","Recommended","Action Words. stay","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_492,i_a_14_82�,say_stay"
"mcs_vc14_83stop","Integer","","Recommended","Action Words. stop","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_493,i_a_14_83�,say_stop"
"mcs_vc14_84sweep","Integer","","Recommended","Action Words. sweep","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_494,i_a_14_84�,say_sweep"
"mcs_vc14_85swim","Integer","","Recommended","Action Words. swim","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_495,i_a_14_85�,say_swim"
"mcs_vc14_86swing","Integer","","Recommended","Action Words. swing","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_496,i_a_14_86�,say_action_swing"
"mcs_vc14_87take","Integer","","Recommended","Action Words. take","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_497,i_a_14_87�,say_take"
"mcs_vc14_88talk","Integer","","Recommended","Action Words. talk","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_498,i_a_14_88�,say_talk"
"mcs_vc14_89taste","Integer","","Recommended","Action Words. taste","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_499,i_a_14_89�,say_taste"
"mcs_vc14_90tear","Integer","","Recommended","Action Words. tear","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_500,i_a_14_90�,say_tear"
"mcs_vc14_91think","Integer","","Recommended","Action Words. think","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_501,i_a_14_91�,say_think"
"mcs_vc14_92throw","Integer","","Recommended","Action Words. throw","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_502,i_a_14_92�,say_throw"
"mcs_vc14_93tickle","Integer","","Recommended","Action Words. tickle","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_503,i_a_14_93�,say_tickle"
"mcs_vc14_94touch","Integer","","Recommended","Action Words. touch","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_504,i_a_14_94�,say_touch"
"mcs_vc14_95wait","Integer","","Recommended","Action Words. wait","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_505,i_a_14_95�,say_wait"
"mcs_vc14_96wake","Integer","","Recommended","Action Words. wake","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_506,i_a_14_96�,say_wake"
"mcs_vc14_97walk","Integer","","Recommended","Action Words. walk","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_507,i_a_14_97�,say_walk"
"mcs_vc14_98wash","Integer","","Recommended","Action Words. wash","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_508,i_a_14_98�,say_wash"
"mcs_vc14_99watch","Integer","","Recommended","Action Words. watch","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_509,i_a_14_99�,say_action_watch"
"mcs_vc14_100wipe","Integer","","Recommended","Action Words. wipe","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_510,i_a_14_100,say_wipe"
"mcs_vc14_101wish","Integer","","Recommended","Action Words. wish","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_511,i_a_14_101,say_wish"
"mcs_vc14_102work","Integer","","Recommended","Action Words. work","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_512,i_a_14_102,say_action_work"
"mcs_vc14_103write","Integer","","Recommended","Action Words. write","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_513,i_a_14_103,say_write"
"mcs_vc15_1allgone","Integer","","Recommended","Descriptive Words. allgone","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_516,i_a_15_1,say_allgone"
"mcs_vc15_2asleep","Integer","","Recommended","Descriptive Words. asleep","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_517,i_a_15_2,say_asleep"
"mcs_vc15_3awake","Integer","","Recommended","Descriptive Words. awake","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_518,i_a_15_3,say_awake"
"mcs_vc15_4bad","Integer","","Recommended","Descriptive Words. bad","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_519,i_a_15_4,say_bad"
"mcs_vc15_5better","Integer","","Recommended","Descriptive Words. better","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_520,i_a_15_5,say_better"
"mcs_vc15_6big","Integer","","Recommended","Descriptive Words. big","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_521,i_a_15_6,say_big"
"mcs_vc15_7black","Integer","","Recommended","Descriptive Words. black","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_522,i_a_15_7,say_black"
"mcs_vc15_8blue","Integer","","Recommended","Descriptive Words. blue","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_523,i_a_15_8,say_blue"
"mcs_vc15_9broken","Integer","","Recommended","Descriptive Words. broken","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_524,i_a_15_9,say_broken"
"mcs_vc15_10brown","Integer","","Recommended","Descriptive Words. brown","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_525,i_a_15_10�,say_brown"
"mcs_vc15_11careful","Integer","","Recommended","Descriptive Words. careful","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_526,i_a_15_11�,say_careful"
"mcs_vc15_12clean","Integer","","Recommended","Descriptive Words. clean","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_527,i_a_15_12�,say_descrip_clean"
"mcs_vc15_13cold","Integer","","Recommended","Descriptive Words. cold","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_528,i_a_15_13�,say_cold"
"mcs_vc15_14cute","Integer","","Recommended","Descriptive Words. cute","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_529,i_a_15_14�,say_cute"
"mcs_vc15_15dark","Integer","","Recommended","Descriptive Words. dark","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_530,i_a_15_15�,say_dark"
"mcs_vc15_16dirty","Integer","","Recommended","Descriptive Words. dirty","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_531,i_a_15_16�,say_dirty"
"mcs_vc15_17dry","Integer","","Recommended","Descriptive Words. dry","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_532,i_a_15_17�,say_descrip_dry"
"mcs_vc15_18empty","Integer","","Recommended","Descriptive Words. empty","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_533,i_a_15_18�,say_empty"
"mcs_vc15_19fast","Integer","","Recommended","Descriptive Words. fast","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_534,i_a_15_19�,say_fast"
"mcs_vc15_20fine","Integer","","Recommended","Descriptive Words. fine","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_535,i_a_15_20�,say_fine"
"mcs_vc15_21first","Integer","","Recommended","Descriptive Words. first","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_536,i_a_15_21�,say_first"
"mcs_vc15_22full","Integer","","Recommended","Descriptive Words. full","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_537,i_a_15_22�,say_full"
"mcs_vc15_23gentle","Integer","","Recommended","Descriptive Words. gentle","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_538,i_a_15_23�,say_gentle"
"mcs_vc15_24good","Integer","","Recommended","Descriptive Words. good","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_539,i_a_15_24�,say_good"
"mcs_vc15_25green","Integer","","Recommended","Descriptive Words. green","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_540,i_a_15_25�,say_green"
"mcs_vc15_26happy","Integer","","Recommended","Descriptive Words. happy","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_541,i_a_15_26�,say_happy"
"mcs_vc15_27hard","Integer","","Recommended","Descriptive Words. hard","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_542,i_a_15_27�,say_hard"
"mcs_vc15_28heavy","Integer","","Recommended","Descriptive Words. heavy","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_543,i_a_15_28�,say_heavy"
"mcs_vc15_29high","Integer","","Recommended","Descriptive Words. high","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_544,i_a_15_29�,say_high"
"mcs_vc15_30hot","Integer","","Recommended","Descriptive Words. hot","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_545,i_a_15_30�,say_hot"
"mcs_vc15_31hungry","Integer","","Recommended","Descriptive Words. hungry","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_546,i_a_15_31�,say_hungry"
"mcs_vc15_32hurt","Integer","","Recommended","Descriptive Words. hurt","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_547,i_a_15_32�,say_hurt"
"mcs_vc15_33last","Integer","","Recommended","Descriptive Words. last","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_548,i_a_15_33�,say_last"
"mcs_vc15_34little","Integer","","Recommended","Descriptive Words. little","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_549,i_a_15_34�,say_little"
"mcs_vc15_35long","Integer","","Recommended","Descriptive Words. long","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_550,i_a_15_35�,say_long"
"mcs_vc15_36loud","Integer","","Recommended","Descriptive Words. loud","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_551,i_a_15_36�,say_loud"
"mcs_vc15_37mad","Integer","","Recommended","Descriptive Words. mad","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_552,i_a_15_37�,say_mad"
"mcs_vc15_38naughty","Integer","","Recommended","Descriptive Words. naughty","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_553,i_a_15_38�,say_naughty"
"mcs_vc15_39new","Integer","","Recommended","Descriptive Words. new","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_554,i_a_15_39�,say_new"
"mcs_vc15_40nice","Integer","","Recommended","Descriptive Words. nice","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_555,i_a_15_40�,say_nice"
"mcs_vc15_41noisy","Integer","","Recommended","Descriptive Words. noisy","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_556,i_a_15_41�,say_noisy"
"mcs_vc15_42old","Integer","","Recommended","Descriptive Words. old","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_557,i_a_15_42�,say_old"
"mcs_vc15_43orange","Integer","","Recommended","Descriptive Words. orange","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_558,i_a_15_43�,say_descrip_orange"
"mcs_vc15_44poor","Integer","","Recommended","Descriptive Words. poor","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_559,i_a_15_44�,say_poor"
"mcs_vc15_45pretty","Integer","","Recommended","Descriptive Words. pretty","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_560,i_a_15_45�,say_pretty"
"mcs_vc15_46quiet","Integer","","Recommended","Descriptive Words. quiet","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_561,i_a_15_46�,say_quiet"
"mcs_vc15_47red","Integer","","Recommended","Descriptive Words. red","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_562,i_a_15_47�,say_red"
"mcs_vc15_48sad","Integer","","Recommended","Descriptive Words. sad","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_563,i_a_15_48�,say_sad"
"mcs_vc15_49scared","Integer","","Recommended","Descriptive Words. scared","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_564,i_a_15_49�,say_scared"
"mcs_vc15_50sick","Integer","","Recommended","Descriptive Words. sick","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_565,i_a_15_50�,say_sick"
"mcs_vc15_51sleepy","Integer","","Recommended","Descriptive Words. sleepy","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_566,i_a_15_51�,say_sleepy"
"mcs_vc15_52slow","Integer","","Recommended","Descriptive Words. slow","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_567,i_a_15_52�,say_slow"
"mcs_vc15_53soft","Integer","","Recommended","Descriptive Words. soft","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_568,i_a_15_53�,say_soft"
"mcs_vc15_54sticky","Integer","","Recommended","Descriptive Words. sticky","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_569,i_a_15_54�,say_sticky"
"mcs_vc15_55stuck","Integer","","Recommended","Descriptive Words. stuck","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_570,i_a_15_55�,say_stuck"
"mcs_vc15_56thirsty","Integer","","Recommended","Descriptive Words. thirsty","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_571,i_a_15_56�,say_thirsty"
"mcs_vc15_57tiny","Integer","","Recommended","Descriptive Words. tiny","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_572,i_a_15_57�,say_tiny"
"mcs_vc15_58tired","Integer","","Recommended","Descriptive Words. tired","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_573,i_a_15_58�,say_tired"
"mcs_vc15_59wet","Integer","","Recommended","Descriptive Words. wet","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_574,i_a_15_59�,say_wet"
"mcs_vc15_60white","Integer","","Recommended","Descriptive Words. white","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_575,i_a_15_60�,say_white"
"mcs_vc15_61windy","Integer","","Recommended","Descriptive Words. windy","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_576,i_a_15_61�,say_windy"
"mcs_vc15_62yellow","Integer","","Recommended","Descriptive Words. yellow","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_577,i_a_15_62�,say_yellow"
"mcs_vc15_63yucky","Integer","","Recommended","Descriptive Words. yucky","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_578,i_a_15_63�,say_yucky"
"mcs_vc16_1after","Integer","","Recommended","Words About Time. after","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_580,i_a_16_1,say_after"
"mcs_vc16_2before","Integer","","Recommended","Words About Time. before","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_581,i_a_16_2,say_before"
"mcs_vc16_3day","Integer","","Recommended","Words About Time. day","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_582,i_a_16_3,say_day"
"mcs_vc16_4later","Integer","","Recommended","Words About Time. later","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_583,i_a_16_4,say_later"
"mcs_vc16_5morning","Integer","","Recommended","Words About Time. morning","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_584,i_a_16_5,say_morning"
"mcs_vc16_6night","Integer","","Recommended","Words About Time. night","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_585,i_a_16_6,say_night"
